case_id,priority,route_or_journey,viewport_or_mode,acceptance_criteria,status,notes
VIS-001,P0,Home,1440x900,"Sacred-Tech identity immediate; hero visually distinctive; Tamil hierarchy dominant; no generic SaaS/card-grid feel; primary CTA obvious; no clipping",PENDING_R2,"Compare against Manus design floor, not legacy shell"
VIS-002,P0,Home,390x844,"Hero remains premium without becoming crowded; Vel motif supports rather than obscures copy; CTAs >=44px; no horizontal overflow",PENDING_R2,""
VIS-003,P0,Home,320x568,"Primary identity + first CTA usable above/before excessive scroll; no overlap; Tamil headings wrap intentionally",PENDING_R2,""
VIS-004,P0,Home,768x1024,"Tablet composition feels designed, not stretched mobile/desktop; counts/abodes remain balanced",PENDING_R2,""
VIS-005,P0,Primary navigation,Keyboard,"Focus indicator unmistakable; sticky header never hides focused target; skip link moves focus to main",PENDING_R2,"WCAG 2.2 focus-not-obscured"
VIS-006,P0,Mobile navigation,390x844,"Open/close is stable; menu does not trap/lose focus; current route understandable; every item has comfortable touch target",PENDING_R2,""
VIS-007,P0,Arupadai Veedu,1440x900,"Six-abode sequence feels like a pilgrimage story, not six identical cards; ordinal progression clear; no invented geography",PENDING_R2,""
VIS-008,P0,Arupadai Veedu,390x844,"Six stops remain legible and connected spatially; verification states do not visually overwhelm sacred identity",PENDING_R2,""
VIS-009,P0,Temple directory,1440x900,"376-record experience has clear search/facet hierarchy; scanable rows; no giant wall of identical cards; source/completeness language truthful",PENDING_R2,""
VIS-010,P0,Temple directory,390x844,"Search/facets usable one-handed; result rows not cramped; long Tamil names wrap cleanly; no sideways scrolling",PENDING_R2,""
VIS-011,P0,Temple directory,200% zoom,"No loss of information/function; controls reflow; filter labels remain associated",PENDING_R2,""
VIS-012,P0,Temple detail — incomplete record,1440x900,"Missing history/coordinates/visitor info presented as intentional truthful completeness state, not broken/empty page",PENDING_R2,""
VIS-013,P0,Temple detail — Arupadai Veedu,390x844,"Identity, source state, official links and pending fields form a calm hierarchy; external official links visually distinguishable",PENDING_R2,""
VIS-014,P0,Temple official support link,Desktop+Mobile,"Clearly external/official; site states it does not receive/process donations; no ambiguous internal payment CTA",PENDING_R2,""
VIS-015,P0,Thiruppugazh index,1440x900,"Source-linked record count is not mistaken for complete canonical corpus; each record exposes real text state",PENDING_R2,""
VIS-016,P0,Thiruppugazh detail — text pending,390x844,"Pending canonical-text state is dignified/useful; page does not fabricate or imply full verse availability",PENDING_R2,""
VIS-017,P0,Thiruppugazh detail — future canonical text,390x844,"Parchment reader has excellent Tamil line length/leading/contrast; canonical/easy/transliteration/meaning layers visually distinct",PENDING_R2,"Run once verified text exists"
VIS-018,P0,Search,1440x900,"Promise says governed/source-tracked, not globally verified; result state visible; zero-result state never generates invented devotional answer",PENDING_R2,""
VIS-019,P0,Search,390x844,"Tamil keyboard/search input comfortable; result title/type/state hierarchy readable; no excessive payload blocking input",PENDING_R2,""
VIS-020,P0,Prayers / works,Desktop+Mobile,"Metadata-only rights state feels intentional; users cannot mistake unavailable copyrighted/canonical text as broken UI",PENDING_R2,""
VIS-021,P0,Daily practice,390x844,"Counter is calm/non-gamified; local-only privacy clear; reset action less visually dominant than increment; daily focus uses local calendar day",PENDING_R2,""
VIS-022,P0,Sources / completeness,Desktop+Mobile,"Technical trust information is understandable to non-technical devotees; statuses readable without jargon overload",PENDING_R2,""
VIS-023,P0,Contact / corrections,Desktop+Mobile,"A real approved contact/correction destination exists or page explicitly states unavailable; no dead support promise",PENDING_R2,""
VIS-024,P0,Tamil locale,All critical routes,"Tamil is primary and complete; document lang correct; typography consistent; no fallback glyphs/mojibake",PENDING_R2,""
VIS-025,P0,English locale,All critical routes,"Full interface parity before bilingual claim; language switch persists locally; no half-translated chrome",PENDING_R2,""
VIS-026,P0,Reduced motion,OS reduced-motion,"All meaning/function retained; hero/route motion reduced; no continuous decorative animation",PENDING_R2,""
VIS-027,P0,High contrast / focus,Keyboard,"Gold focus indicator remains >=3:1 against adjacent states; faint/copper colors never carry essential small text alone",PENDING_R2,""
VIS-028,P0,PWA install surface,Supported browser,"Install claim appears only after governed 192/512 icons + manifest/SW installability pass; no recycled legacy icon",PENDING_R2,""
VIS-029,P0,Offline/update,Desktop+Mobile,"Last known-good shell loads after prior online visit; bad network response never replaces shell; new version activates without stale-site loop",PENDING_R2,""
VIS-030,P0,Release identity,/release.json,"Repository and exact GitHub SHA visible; environment/source role correct; no local-placeholder SHA after GitHub import",PENDING_R2,""
VIS-031,P1,Route transitions,Modern browser,"Optional View Transition progressive enhancement preserves spatial context; falls back cleanly; never blocks focus or screen-reader navigation",PENDING_R2,"No dependency required if native API sufficient"
VIS-032,P1,Long temple results,Low-end mobile,"Scrolling stays responsive; optimise based on measurement; content-visibility/virtualisation only if proven useful",PENDING_R2,""
VIS-033,P1,Large desktop,1920x1080,"Layout uses space intentionally; text measure does not become overly wide; visual system remains premium rather than sparse/empty",PENDING_R2,""
VIS-034,P1,Landscape phone,844x390,"Header/menu/content remain usable; no viewport-height assumptions obscure primary controls",PENDING_R2,""
VIS-035,P1,Print / reading mode,Thiruppugazh future,"Canonical reading can be printed/shared only when rights allow; decorative chrome removed; source attribution retained",PENDING_R2,"Future corpus gate"
VIS-036,P1,Murugan Knowledge route,Desktop+Mobile,"Names/forms/epithets are source-aware and expandable; no unsupported mythology presented as fact",PENDING_R2,"Route missing in R1"
VIS-037,P1,Audio architecture,Desktop+Mobile,"Recorded licensed audio vs device read-aloud labelled distinctly; no autoplay sound; empty state truthful while registry empty",PENDING_R2,"Route/registry incomplete in R1"
VIS-038,P1,Saved/recent local library,Desktop+Mobile,"Local-first; understandable privacy; no account requirement; empty state useful; no manipulative engagement",PENDING_R2,"Feature missing in R1"
VIS-039,P1,Preview deployment,workers.dev,"Preview is visually identical to candidate build but noindex/nofollow; no production canonical collision; release marker matches GitHub SHA",PENDING_R2,""
VIS-040,P0,Fresh/private browser after preview,Desktop+Mobile,"New clean-room site appears immediately; no legacy app.js/static shell/service-worker cache; anti-reversion PASS",PENDING_R2,"Final preview gate"
